Student,StepID,Correct,KC_1,P(L)1,P(C)1,KC_27,P(L)27,P(C)27,KC_24,P(L)24,P(C)24,KC_14,P(L)14,P(C)14,KC_22,P(L)22,P(C)22,KC_20,P(L)20,P(C)20,KC_21,P(L)21,P(C)21
stu22,484,1,0,0.500,0.500,1,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu22,485,1,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu22,499,1,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500,0,0.500,0.500
stu22,518,1,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,1,0.550,0.500,0,0.500,0.500
stu22,546,0,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,0,0.550,0.500,1,0.190,0.500
stu22,549,1,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,0,0.550,0.500,1,0.271,0.252
stu22,550,1,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,0,0.550,0.500,1,0.344,0.317
stu22,592,1,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,1,0.595,0.540,0,0.550,0.500,0,0.344,0.317
stu22,596,1,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,1,0.636,0.576,0,0.550,0.500,0,0.344,0.317
stu22,601,1,0,0.500,0.500,0,0.550,0.500,0,0.500,0.500,0,0.500,0.500,1,0.672,0.608,0,0.550,0.500,0,0.344,0.317
stu22,626,1,0,0.500,0.500,0,0.550,0.500,1,0.550,0.500,0,0.500,0.500,0,0.672,0.608,0,0.550,0.500,0,0.344,0.317
stu22,686,1,0,0.500,0.500,0,0.550,0.500,0,0.550,0.500,0,0.500,0.500,1,0.705,0.638,0,0.550,0.500,0,0.344,0.317
stu22,698,1,0,0.500,0.500,0,0.550,0.500,0,0.550,0.500,0,0.500,0.500,1,0.734,0.664,0,0.550,0.500,0,0.344,0.317
stu22,700,1,0,0.500,0.500,1,0.595,0.540,0,0.550,0.500,0,0.500,0.500,0,0.734,0.664,0,0.550,0.500,0,0.344,0.317
stu22,711,1,0,0.500,0.500,0,0.595,0.540,0,0.550,0.500,0,0.500,0.500,0,0.734,0.664,0,0.550,0.500,1,0.410,0.375
stu22,738,1,0,0.500,0.500,0,0.595,0.540,1,0.595,0.540,0,0.500,0.500,0,0.734,0.664,0,0.550,0.500,0,0.410,0.375
stu22,743,1,0,0.500,0.500,0,0.595,0.540,1,0.636,0.576,0,0.500,0.500,0,0.734,0.664,0,0.550,0.500,0,0.410,0.375
stu22,757,1,0,0.500,0.500,0,0.595,0.540,1,0.672,0.608,0,0.500,0.500,0,0.734,0.664,0,0.550,0.500,0,0.410,0.375
stu22,774,1,0,0.500,0.500,0,0.595,0.540,0,0.672,0.608,0,0.500,0.500,0,0.734,0.664,1,0.595,0.540,0,0.410,0.375
stu22,794,1,0,0.500,0.500,0,0.595,0.540,0,0.672,0.608,0,0.500,0.500,0,0.734,0.664,1,0.636,0.576,0,0.410,0.375
stu22,800,1,0,0.500,0.500,0,0.595,0.540,0,0.672,0.608,0,0.500,0.500,0,0.734,0.664,0,0.636,0.576,1,0.469,0.428
stu22,808,1,0,0.500,0.500,0,0.595,0.540,0,0.672,0.608,0,0.500,0.500,0,0.734,0.664,0,0.636,0.576,1,0.522,0.475
stu22,869,1,0,0.500,0.500,0,0.595,0.540,0,0.672,0.608,0,0.500,0.500,1,0.761,0.687,0,0.636,0.576,0,0.522,0.475
stu22,902,1,0,0.500,0.500,0,0.595,0.540,1,0.705,0.638,0,0.500,0.500,0,0.761,0.687,0,0.636,0.576,1,0.570,0.517
stu22,939,1,0,0.500,0.500,1,0.636,0.576,0,0.705,0.638,0,0.500,0.500,0,0.761,0.687,0,0.636,0.576,0,0.570,0.517
stu22,977,1,0,0.500,0.500,0,0.636,0.576,1,0.734,0.664,0,0.500,0.500,0,0.761,0.687,0,0.636,0.576,0,0.570,0.517
stu22,1030,1,0,0.500,0.500,0,0.636,0.576,0,0.734,0.664,0,0.500,0.500,0,0.761,0.687,1,0.672,0.608,0,0.570,0.517
stu22,1038,1,0,0.500,0.500,0,0.636,0.576,0,0.734,0.664,0,0.500,0.500,0,0.761,0.687,1,0.705,0.638,0,0.570,0.517
stu22,1074,1,0,0.500,0.500,0,0.636,0.576,0,0.734,0.664,0,0.500,0.500,1,0.785,0.709,0,0.705,0.638,0,0.570,0.517
stu22,1116,1,0,0.500,0.500,0,0.636,0.576,0,0.734,0.664,0,0.500,0.500,0,0.785,0.709,0,0.705,0.638,1,0.613,0.556
stu22,1303,1,0,0.500,0.500,0,0.636,0.576,0,0.734,0.664,0,0.500,0.500,0,0.785,0.709,1,0.734,0.664,0,0.613,0.556
stu22,1308,1,0,0.500,0.500,0,0.636,0.576,1,0.761,0.687,0,0.500,0.500,0,0.785,0.709,1,0.761,0.687,0,0.613,0.556
stu22,1313,1,0,0.500,0.500,0,0.636,0.576,1,0.785,0.709,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.613,0.556
stu22,1314,1,0,0.500,0.500,1,0.672,0.608,0,0.785,0.709,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.613,0.556
stu22,1323,1,0,0.500,0.500,0,0.672,0.608,1,0.806,0.728,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.613,0.556
stu22,1324,1,0,0.500,0.500,0,0.672,0.608,1,0.826,0.745,0,0.500,0.500,0,0.785,0.709,0,0.761,0.687,0,0.613,0.556
