Student,StepID,Correct,KC_1,P(L)1,P(C)1,KC_27,P(L)27,P(C)27,KC_24,P(L)24,P(C)24,KC_14,P(L)14,P(C)14,KC_22,P(L)22,P(C)22,KC_20,P(L)20,P(C)20,KC_21,P(L)21,P(C)21
stu1,478,0,0,0.500,0.500,1,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu1,479,1,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu1,484,1,0,0.500,0.500,1,0.595,0.540,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu1,485,1,0,0.500,0.500,1,0.636,0.576,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu1,497,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500,0,0.500,0.500
stu1,518,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,1,0.550,0.500,0,0.500,0.500
stu1,538,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,0,0.550,0.500,1,0.550,0.500
stu1,593,0,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,1,0.208,0.540,0,0.550,0.500,0,0.550,0.500
stu1,597,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,1,0.287,0.266,0,0.550,0.500,0,0.550,0.500
stu1,604,0,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,1,0.139,0.329,0,0.550,0.500,0,0.550,0.500
stu1,605,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,1,0.225,0.211,0,0.550,0.500,0,0.550,0.500
stu1,606,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,1,0.302,0.280,0,0.550,0.500,0,0.550,0.500
stu1,619,1,0,0.500,0.500,0,0.636,0.576,0,0.500,0.500,0,0.500,0.500,1,0.372,0.342,0,0.550,0.500,0,0.550,0.500
stu1,626,1,0,0.500,0.500,0,0.636,0.576,1,0.550,0.500,0,0.500,0.500,0,0.372,0.342,0,0.550,0.500,0,0.550,0.500
stu1,653,1,0,0.500,0.500,0,0.636,0.576,1,0.595,0.540,0,0.500,0.500,0,0.372,0.342,0,0.550,0.500,0,0.550,0.500
stu1,686,1,0,0.500,0.500,0,0.636,0.576,0,0.595,0.540,0,0.500,0.500,1,0.435,0.398,0,0.550,0.500,0,0.550,0.500
stu1,698,1,0,0.500,0.500,0,0.636,0.576,0,0.595,0.540,0,0.500,0.500,1,0.491,0.448,0,0.550,0.500,0,0.550,0.500
stu1,705,0,0,0.500,0.500,1,0.246,0.608,0,0.595,0.540,0,0.500,0.500,0,0.491,0.448,0,0.550,0.500,0,0.550,0.500
stu1,706,1,0,0.500,0.500,1,0.321,0.297,0,0.595,0.540,0,0.500,0.500,0,0.491,0.448,0,0.550,0.500,0,0.550,0.500
stu1,709,1,0,0.500,0.500,0,0.321,0.297,0,0.595,0.540,0,0.500,0.500,0,0.491,0.448,0,0.550,0.500,1,0.595,0.540
stu1,733,0,0,0.500,0.500,0,0.321,0.297,1,0.226,0.576,0,0.500,0.500,0,0.491,0.448,0,0.550,0.500,0,0.595,0.540
stu1,734,1,0,0.500,0.500,0,0.321,0.297,1,0.304,0.281,0,0.500,0.500,0,0.491,0.448,0,0.550,0.500,0,0.595,0.540
stu1,741,0,0,0.500,0.500,0,0.321,0.297,1,0.142,0.343,0,0.500,0.500,0,0.491,0.448,0,0.550,0.500,0,0.595,0.540
stu1,742,1,0,0.500,0.500,0,0.321,0.297,1,0.227,0.213,0,0.500,0.500,0,0.491,0.448,0,0.550,0.500,0,0.595,0.540
stu1,747,0,0,0.500,0.500,0,0.321,0.297,1,0.129,0.282,0,0.500,0.500,0,0.491,0.448,0,0.550,0.500,0,0.595,0.540
stu1,748,1,0,0.500,0.500,0,0.321,0.297,1,0.216,0.203,0,0.500,0.500,0,0.491,0.448,0,0.550,0.500,0,0.595,0.540
stu1,757,1,0,0.500,0.500,0,0.321,0.297,1,0.294,0.273,0,0.500,0.500,0,0.491,0.448,0,0.550,0.500,0,0.595,0.540
stu1,774,1,0,0.500,0.500,0,0.321,0.297,0,0.294,0.273,0,0.500,0.500,0,0.491,0.448,1,0.595,0.540,0,0.595,0.540
stu1,804,1,0,0.500,0.500,0,0.321,0.297,0,0.294,0.273,0,0.500,0.500,0,0.491,0.448,0,0.595,0.540,1,0.636,0.576
stu1,814,1,0,0.500,0.500,0,0.321,0.297,0,0.294,0.273,0,0.500,0.500,0,0.491,0.448,0,0.595,0.540,1,0.672,0.608
stu1,871,0,0,0.500,0.500,0,0.321,0.297,0,0.294,0.273,0,0.500,0.500,1,0.187,0.493,0,0.595,0.540,0,0.672,0.608
stu1,873,1,0,0.500,0.500,0,0.321,0.297,0,0.294,0.273,0,0.500,0.500,1,0.268,0.250,0,0.595,0.540,0,0.672,0.608
stu1,902,1,0,0.500,0.500,0,0.321,0.297,1,0.365,0.335,0,0.500,0.500,0,0.268,0.250,0,0.595,0.540,1,0.705,0.638
stu1,925,1,0,0.500,0.500,0,0.321,0.297,0,0.365,0.335,0,0.500,0.500,1,0.342,0.315,0,0.595,0.540,0,0.705,0.638
stu1,933,0,0,0.500,0.500,1,0.145,0.357,0,0.365,0.335,0,0.500,0.500,0,0.342,0.315,0,0.595,0.540,0,0.705,0.638
stu1,937,0,0,0.500,0.500,0,0.145,0.357,0,0.365,0.335,0,0.500,0.500,0,0.342,0.315,1,0.226,0.576,0,0.705,0.638
