Student,StepID,Correct,KC_1,P(L)1,P(C)1,KC_27,P(L)27,P(C)27,KC_24,P(L)24,P(C)24,KC_14,P(L)14,P(C)14,KC_22,P(L)22,P(C)22,KC_20,P(L)20,P(C)20,KC_21,P(L)21,P(C)21
stu1,478,0,0,0.500,0.500,1,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu1,479,1,0,0.500,0.500,1,0.600,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu1,484,1,0,0.500,0.500,1,0.680,0.580,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu1,485,1,0,0.500,0.500,1,0.744,0.644,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu1,497,1,0,0.500,0.500,0,0.744,0.644,0,0.500,0.500,0,0.500,0.500,1,0.600,0.500,0,0.500,0.500,0,0.500,0.500
stu1,518,1,0,0.500,0.500,0,0.744,0.644,0,0.500,0.500,0,0.500,0.500,0,0.600,0.500,1,0.600,0.500,0,0.500,0.500
stu1,538,1,0,0.500,0.500,0,0.744,0.644,0,0.500,0.500,0,0.500,0.500,0,0.600,0.500,0,0.600,0.500,1,0.600,0.500
stu1,593,0,0,0.500,0.500,0,0.744,0.644,0,0.500,0.500,0,0.500,0.500,1,0.314,0.580,0,0.600,0.500,0,0.600,0.500
stu1,597,1,0,0.500,0.500,0,0.744,0.644,0,0.500,0.500,0,0.500,0.500,1,0.451,0.351,0,0.600,0.500,0,0.600,0.500
stu1,604,0,0,0.500,0.500,0,0.744,0.644,0,0.500,0.500,0,0.500,0.500,1,0.267,0.461,0,0.600,0.500,0,0.600,0.500
stu1,605,1,0,0.500,0.500,0,0.744,0.644,0,0.500,0.500,0,0.500,0.500,1,0.414,0.314,0,0.600,0.500,0,0.600,0.500
stu1,606,1,0,0.500,0.500,0,0.744,0.644,0,0.500,0.500,0,0.500,0.500,1,0.531,0.431,0,0.600,0.500,0,0.600,0.500
stu1,619,1,0,0.500,0.500,0,0.744,0.644,0,0.500,0.500,0,0.500,0.500,1,0.625,0.525,0,0.600,0.500,0,0.600,0.500
stu1,626,1,0,0.500,0.500,0,0.744,0.644,1,0.600,0.500,0,0.500,0.500,0,0.625,0.525,0,0.600,0.500,0,0.600,0.500
stu1,653,1,0,0.500,0.500,0,0.744,0.644,1,0.680,0.580,0,0.500,0.500,0,0.625,0.525,0,0.600,0.500,0,0.600,0.500
stu1,686,1,0,0.500,0.500,0,0.744,0.644,0,0.680,0.580,0,0.500,0.500,1,0.700,0.600,0,0.600,0.500,0,0.600,0.500
stu1,698,1,0,0.500,0.500,0,0.744,0.644,0,0.680,0.580,0,0.500,0.500,1,0.760,0.660,0,0.600,0.500,0,0.600,0.500
stu1,705,0,0,0.500,0.500,1,0.395,0.695,0,0.680,0.580,0,0.500,0.500,0,0.760,0.660,0,0.600,0.500,0,0.600,0.500
stu1,706,1,0,0.500,0.500,1,0.516,0.416,0,0.680,0.580,0,0.500,0.500,0,0.760,0.660,0,0.600,0.500,0,0.600,0.500
stu1,709,1,0,0.500,0.500,0,0.516,0.416,0,0.680,0.580,0,0.500,0.500,0,0.760,0.660,0,0.600,0.500,1,0.680,0.580
stu1,733,0,0,0.500,0.500,0,0.516,0.416,1,0.353,0.644,0,0.500,0.500,0,0.760,0.660,0,0.600,0.500,0,0.680,0.580
stu1,734,1,0,0.500,0.500,0,0.516,0.416,1,0.482,0.382,0,0.500,0.500,0,0.760,0.660,0,0.600,0.500,0,0.680,0.580
stu1,741,0,0,0.500,0.500,0,0.516,0.416,1,0.275,0.486,0,0.500,0.500,0,0.760,0.660,0,0.600,0.500,0,0.680,0.580
stu1,742,1,0,0.500,0.500,0,0.516,0.416,1,0.420,0.320,0,0.500,0.500,0,0.760,0.660,0,0.600,0.500,0,0.680,0.580
stu1,747,0,0,0.500,0.500,0,0.516,0.416,1,0.260,0.436,0,0.500,0.500,0,0.760,0.660,0,0.600,0.500,0,0.680,0.580
