Student,StepID,Correct,KC_1,P(L)1,P(C)1,KC_27,P(L)27,P(C)27,KC_24,P(L)24,P(C)24,KC_14,P(L)14,P(C)14,KC_22,P(L)22,P(C)22,KC_20,P(L)20,P(C)20,KC_21,P(L)21,P(C)21
stu1,478,0,0,0.500,0.500,1,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu1,479,1,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu1,484,1,0,0.500,0.500,1,0.595,0.530,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu1,485,1,0,0.500,0.500,1,0.636,0.557,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500,0,0.500,0.500
stu1,497,1,0,0.500,0.500,0,0.636,0.557,0,0.500,0.500,0,0.500,0.500,1,0.550,0.500,0,0.500,0.500,0,0.500,0.500
stu1,518,1,0,0.500,0.500,0,0.636,0.557,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,1,0.550,0.500,0,0.500,0.500
stu1,538,1,0,0.500,0.500,0,0.636,0.557,0,0.500,0.500,0,0.500,0.500,0,0.550,0.500,0,0.550,0.500,1,0.550,0.500
stu1,593,0,0,0.500,0.500,0,0.636,0.557,0,0.500,0.500,0,0.500,0.500,1,0.311,0.530,0,0.550,0.500,0,0.550,0.500
stu1,597,1,0,0.500,0.500,0,0.636,0.557,0,0.500,0.500,0,0.500,0.500,1,0.380,0.386,0,0.550,0.500,0,0.550,0.500
stu1,604,0,0,0.500,0.500,0,0.636,0.557,0,0.500,0.500,0,0.500,0.500,1,0.219,0.428,0,0.550,0.500,0,0.550,0.500
stu1,605,1,0,0.500,0.500,0,0.636,0.557,0,0.500,0.500,0,0.500,0.500,1,0.297,0.332,0,0.550,0.500,0,0.550,0.500
stu1,606,1,0,0.500,0.500,0,0.636,0.557,0,0.500,0.500,0,0.500,0.500,1,0.368,0.378,0,0.550,0.500,0,0.550,0.500
stu1,619,1,0,0.500,0.500,0,0.636,0.557,0,0.500,0.500,0,0.500,0.500,1,0.431,0.421,0,0.550,0.500,0,0.550,0.500
stu1,626,1,0,0.500,0.500,0,0.636,0.557,1,0.550,0.500,0,0.500,0.500,0,0.431,0.421,0,0.550,0.500,0,0.550,0.500
stu1,653,1,0,0.500,0.500,0,0.636,0.557,1,0.595,0.530,0,0.500,0.500,0,0.431,0.421,0,0.550,0.500,0,0.550,0.500
stu1,686,1,0,0.500,0.500,0,0.636,0.557,0,0.595,0.530,0,0.500,0.500,1,0.488,0.459,0,0.550,0.500,0,0.550,0.500
stu1,698,1,0,0.500,0.500,0,0.636,0.557,0,0.595,0.530,0,0.500,0.500,1,0.539,0.493,0,0.550,0.500,0,0.550,0.500
stu1,705,0,0,0.500,0.500,1,0.373,0.581,0,0.595,0.530,0,0.500,0.500,0,0.539,0.493,0,0.550,0.500,0,0.550,0.500
stu1,706,1,0,0.500,0.500,1,0.436,0.424,0,0.595,0.530,0,0.500,0.500,0,0.539,0.493,0,0.550,0.500,0,0.550,0.500
stu1,709,1,0,0.500,0.500,0,0.436,0.424,0,0.595,0.530,0,0.500,0.500,0,0.539,0.493,0,0.550,0.500,1,0.595,0.530
stu1,733,0,0,0.500,0.500,0,0.436,0.424,1,0.342,0.557,0,0.500,0.500,0,0.539,0.493,0,0.550,0.500,0,0.595,0.530
stu1,734,1,0,0.500,0.500,0,0.436,0.424,1,0.408,0.405,0,0.500,0.500,0,0.539,0.493,0,0.550,0.500,0,0.595,0.530
stu1,741,0,0,0.500,0.500,0,0.436,0.424,1,0.232,0.445,0,0.500,0.500,0,0.539,0.493,0,0.550,0.500,0,0.595,0.530
stu1,742,1,0,0.500,0.500,0,0.436,0.424,1,0.309,0.339,0,0.500,0.500,0,0.539,0.493,0,0.550,0.500,0,0.595,0.530
stu1,747,0,0,0.500,0.500,0,0.436,0.424,1,0.190,0.385,0,0.500,0.500,0,0.539,0.493,0,0.550,0.500,0,0.595,0.530
stu1,748,1,0,0.500,0.500,0,0.436,0.424,1,0.271,0.314,0,0.500,0.500,0,0.539,0.493,0,0.550,0.500,0,0.595,0.530
stu1,757,1,0,0.500,0.500,0,0.436,0.424,1,0.344,0.363,0,0.500,0.500,0,0.539,0.493,0,0.550,0.500,0,0.595,0.530
stu1,774,1,0,0.500,0.500,0,0.436,0.424,0,0.344,0.363,0,0.500,0.500,0,0.539,0.493,1,0.595,0.530,0,0.595,0.530
stu1,804,1,0,0.500,0.500,0,0.436,0.424,0,0.344,0.363,0,0.500,0.500,0,0.539,0.493,0,0.595,0.530,1,0.636,0.557
stu1,814,1,0,0.500,0.500,0,0.436,0.424,0,0.344,0.363,0,0.500,0.500,0,0.539,0.493,0,0.595,0.530,1,0.672,0.581
stu1,871,0,0,0.500,0.500,0,0.436,0.424,0,0.344,0.363,0,0.500,0.500,1,0.304,0.523,0,0.595,0.530,0,0.672,0.581
stu1,873,1,0,0.500,0.500,0,0.436,0.424,0,0.344,0.363,0,0.500,0.500,1,0.373,0.382,0,0.595,0.530,0,0.672,0.581
stu1,902,1,0,0.500,0.500,0,0.436,0.424,1,0.410,0.407,0,0.500,0.500,0,0.373,0.382,0,0.595,0.530,1,0.705,0.603
stu1,925,1,0,0.500,0.500,0,0.436,0.424,0,0.410,0.407,0,0.500,0.500,1,0.436,0.424,0,0.595,0.530,0,0.705,0.603
stu1,933,0,0,0.500,0.500,1,0.246,0.462,0,0.410,0.407,0,0.500,0.500,0,0.436,0.424,0,0.595,0.530,0,0.705,0.603
stu1,937,0,0,0.500,0.500,0,0.246,0.462,0,0.410,0.407,0,0.500,0.500,0,0.436,0.424,1,0.342,0.557,0,0.705,0.603
